DE_DEPARTAMENTO,FLAG_PADRON_OLD,FLAG_DISCAP_SEVERA,FLAG_MAYEDAD
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
LAMBAYEQUE,NO,NO,SI
LAMBAYEQUE,NO,NO,SI
LAMBAYEQUE,SI,NO,SI
LAMBAYEQUE,NO,NO,NO
LAMBAYEQUE,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
'SAN MARTIN',NO,NO,SI
'SAN MARTIN',NO,NO,NO
'SAN MARTIN',SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
LIMA,SI,NO,SI
LIMA,NO,NO,NO
LIMA,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,SI,SI
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,SI
AMAZONAS,NO,NO,NO
LORETO,NO,NO,NO
LORETO,NO,NO,NO
LORETO,SI,NO,SI
LORETO,NO,NO,NO
AMAZONAS,NO,NO,SI
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
AMAZONAS,SI,NO,SI
AMAZONAS,NO,NO,NO
AMAZONAS,NO,NO,NO
CAJAMARCA,SI,NO,SI
CAJAMARCA,NO,NO,NO
CAJAMARCA,NO,NO,SI
CAJAMARCA,NO,NO,NO
CAJAMARCA,NO,NO,NO
'SAN MARTIN',SI,NO,SI
'SAN MARTIN',NO,NO,NO
'SAN MARTIN',NO,NO,NO
'SAN MARTIN',NO,NO,SI
'SAN MARTIN',NO,NO,NO
'SAN MARTIN',NO,NO,NO
'SAN MARTIN',SI,NO,SI
'SAN MARTIN',NO,NO,SI
'SAN MARTIN',NO,NO,SI
'SAN MARTIN',NO,NO,NO
LORETO,SI,NO,SI
LORETO,NO,NO,NO
LORETO,NO,NO,SI
LORETO,NO,NO,NO
LIMA,NO,NO,SI
LIMA,NO,NO,SI
LIMA,NO,NO,NO
LIMA,SI,NO,SI
ANCASH,NO,NO,SI
ANCASH,NO,NO,NO
ANCASH,SI,NO,SI
ANCASH,NO,NO,NO
ANCASH,NO,NO,NO
ANCASH,NO,NO,NO
ANCASH,NO,NO,NO
ANCASH,SI,NO,SI
ANCASH,NO,NO,SI
ANCASH,NO,NO,NO
ANCASH,NO,NO,SI
ANCASH,NO,NO,NO
ANCASH,SI,NO,SI
ANCASH,SI,NO,SI
ANCASH,NO,NO,NO
ANCASH,NO,NO,SI
ANCASH,NO,NO,NO
ANCASH,NO,SI,NO
CUSCO,SI,NO,SI
CUSCO,NO,NO,NO
ICA,SI,NO,SI
ICA,NO,NO,SI
ICA,NO,NO,NO
ICA,NO,NO,NO
ICA,NO,NO,NO
ICA,SI,NO,SI
CUSCO,SI,NO,SI
CUSCO,NO,NO,NO
CUSCO,NO,NO,SI
CUSCO,NO,NO,NO
APURIMAC,NO,NO,NO
APURIMAC,NO,NO,SI
APURIMAC,SI,NO,SI
APURIMAC,NO,NO,NO
APURIMAC,SI,NO,SI
APURIMAC,NO,NO,NO
APURIMAC,NO,NO,SI
APURIMAC,NO,NO,NO
APURIMAC,NO,NO,NO
APURIMAC,SI,NO,SI
APURIMAC,NO,NO,SI
APURIMAC,NO,NO,NO
